delivery_delay_delta,transit_speed_kmh,discount_rate_normalized,profit_ratio,shipping_mode_encoded,order_item_quantity_norm,price_deviation_score,benefit_ratio,is_fraud
2,98.96779392405271,0.639999984,0.310000002,0.0,0.2,0.0,0.926924087194348,0
3,104.39701435857218,0.680000008,0.479999989,0.33,0.2,0.0,0.968610600495706,0
0,125.79886739339595,0.720000028,0.0,0.0,0.2,0.0,0.8460385550782207,0
3,118.77069845498434,0.159999996,-0.270000011,0.33,0.4,0.1499750043,0.7671900046161159,0
0,207.4292386066114,0.04,-1.549999952,0.33,0.4,0.0999750042,0.3739463912144508,0
4,123.35011296868831,0.159999996,0.349999994,0.33,0.4,0.125,0.9494090798817242,0
0,207.3975972622425,0.200000004,0.330000013,0.33,0.4,0.0999750042,0.9410108964218153,0
1,138.2589473573518,0.360000016,0.100000001,0.33,0.4,0.125,0.8740347413261439,0
3,82.95193322713676,0.51999998,-0.25,0.33,0.4,0.125,0.7791245962432637,0
4,99.13941793705378,0.720000028,0.079999998,0.33,0.4,0.125,0.8649590540755455,0
0,207.42996069087178,0.680000008,0.300000012,0.33,0.4,0.11247500419999999,0.9226605247858676,0
3,82.96262148000677,0.720000028,0.280000001,0.33,0.4,0.13742500294999999,0.9166688578655338,0
4,69.1300077141279,0.08,0.25999999,0.33,0.4,0.1499750043,0.9244255522805616,0
2,103.69840259234617,0.800000012,0.479999989,0.33,0.4,0.1499750043,0.964170350074468,0
0,169.23685180721435,0.479999988,-0.699999988,0.33,0.6,0.49995000835,0.6565274785488938,0
3,82.97319530401255,0.200000004,0.340000004,0.33,0.6,0.19994999880000003,0.9454088336217624,0
3,82.96310879680414,0.119999996,-0.059999999,0.33,0.6,0.10995000362500001,0.8290168192081926,0
3,50.336992186950646,0.680000008,0.479999989,0.33,0.6,0.159950003625,0.9685922066844039,0
1,137.8169365504549,0.08,0.439999998,0.33,0.6,0.49995000835,0.9787004181818048,0
0,207.37615891459828,0.400000004,0.49000001,0.33,0.6,0.49995000835,0.9817156803469348,0
4,69.12801709363208,1.0,0.340000004,0.33,0.6,0.49995000835,0.9240254720996761,0
2,103.38391364601803,0.08,0.460000008,0.33,0.6,0.2999499988,0.9847265295125068,0
0,207.3768305316997,0.28,0.25999999,0.33,0.6,0.2999499988,0.9204339811322577,0
1,138.73741605416106,0.360000016,0.419999987,0.33,0.6,0.2999499988,0.9636147788638177,0
1,138.27794642237345,0.400000004,0.25,0.33,0.6,0.2999499988,0.915254338489825,0
0,207.37615891459828,0.28,0.150000006,0.33,0.6,0.25,0.8889660394968867,0
2,103.71244233283399,0.400000004,0.109999999,0.33,0.6,0.19994999880000003,0.8773241648679203,0
1,138.27103580001128,1.0,0.109999999,0.33,0.6,0.25,0.8721067978205613,0
4,69.14948616239576,0.639999984,0.140000001,0.33,0.6,0.10995000362500001,0.8822272320128705,0
4,69.14426568782281,0.0,0.340000004,0.33,0.6,0.49995000835,0.9500245279128617,0
3,82.68690007968448,0.04,-1.600000024,0.33,0.6,0.2999499988,0.35872457474397185,0
2,103.69306258399966,0.200000004,0.25,0.33,0.6,0.2999499988,0.9191006093274238,0
3,82.95322083230896,0.239999996,0.289999992,0.33,0.6,0.2999499988,0.9303488113255498,0
3,82.96687981360034,0.28,0.479999989,0.33,0.6,0.2999499988,0.9833760595294805,0
3,82.96687981360034,0.360000016,-0.159999996,0.33,0.6,0.2999499988,0.8004132347697608,0
1,138.27450621962842,0.600000024,-0.769999981,0.33,0.6,0.2999499988,0.6454683487232199,0
2,18.403303890817742,0.600000024,0.310000002,0.33,0.6,0.2999499988,0.9278872003314381,0
2,103.69751199175933,0.0,0.479999989,0.33,0.6,0.25,0.9937107400932984,0
2,103.68913784010908,0.159999996,0.25999999,0.33,0.6,0.19994999880000003,0.9228165213300887,0
2,103.6894505804409,0.159999996,0.159999996,0.33,0.6,0.25,0.894175583972805,0
3,82.95322083230896,0.200000004,0.479999989,0.33,0.6,0.25,0.9863271339805785,0
4,23.929111154700077,0.28,0.310000002,0.33,0.6,0.25,0.9355853269616576,0
0,207.4577259917069,0.479999988,0.100000001,0.33,0.6,0.25,0.8731117886079611,0
2,103.72316378764363,0.479999988,0.349999994,0.33,0.6,0.25,0.9407948753549908,0
2,103.72316378764363,0.51999998,0.079999998,0.33,0.6,0.25,0.867451021043986,0
2,35.882450153699175,0.680000008,0.129999995,0.33,0.6,0.25,0.8779521559234558,0
2,53.26647976736489,0.680000008,0.330000013,0.33,0.6,0.19994999880000003,0.9303045528474247,0
